City,State,County,Lat,Lon,Population,Density
Davis,OK,Murray,34.4578,-97.1655,2802,98
Luzerne,PA,Luzerne,41.2867,-75.8967,2801,1568
Lena,IL,Stephenson,42.3784,-89.8213,2800,418
Burnettown,SC,Aiken,33.5186,-81.8634,2800,196
Grottoes,VA,Rockingham,38.2693,-78.8251,2799,535
Rising Sun,MD,Cecil,39.7007,-76.06,2799,699
Brinkley,AR,Monroe,34.8896,-91.1895,2798,196
Fort Branch,IN,Gibson,38.2462,-87.5735,2797,990
Brusly,LA,West Baton Rouge,30.3943,-91.2517,2794,487
Springdale,SC,Lexington,33.9617,-81.1119,2791,396
Moonachie,NJ,Bergen,40.8409,-74.0587,2790,646
Many,LA,Sabine,31.5663,-93.4777,2790,309
Newton,IL,Jasper,38.9881,-88.1647,2790,583
Burns,OR,Harney,43.5883,-119.0613,2788,303
Seward,AK,Kenai Peninsula,60.1135,-149.3918,2787,76
Floydada,TX,Floyd,33.9835,-101.3367,2786,528
Caledonia,MN,Houston,43.6343,-91.5008,2786,378
Bar Nunn,WY,Natrona,42.922,-106.3475,2785,512
Windsor,MO,Henry,38.5319,-93.5227,2785,444
Green Forest,AR,Carroll,36.3344,-93.4279,2782,461
Folly Beach,SC,Charleston,32.6692,-79.95,2782,85
Lake City,GA,Clayton,33.6065,-84.3411,2781,581
Bethel,OH,Clermont,38.9627,-84.0847,2779,751
Buena Vista,CO,Chaffee,38.8318,-106.1389,2778,310
El Paso,IL,Woodford,40.7405,-89.0181,2778,499
Stroud,OK,Lincoln,35.768,-96.6474,2778,93
Woodbury,TN,Cannon,35.8246,-86.0725,2777,532
Harveys Lake,PA,Luzerne,41.3625,-76.0384,2773,207
Kemmerer,WY,Lincoln,41.7761,-110.5555,2771,137
Hartford,KY,Ohio,37.4506,-86.893,2771,380
Lakeside Park,KY,Kenton,39.0338,-84.5675,2770,1369
Norway,MI,Dickinson,45.8019,-87.9132,2769,122
Dallas,PA,Luzerne,41.3306,-75.9735,2768,460
Waller,TX,Waller,30.0629,-95.9221,2767,486
New Tazewell,TN,Claiborne,36.4387,-83.6055,2767,203
Evendale,OH,Hamilton,39.2508,-84.4265,2767,225
Buckeye Lake,OH,Licking,39.9355,-82.4826,2766,541
Abernathy,TX,Lubbock,33.837,-101.8155,2765,495
Clarion,IA,Wright,42.7322,-93.7294,2765,327
Almont,MI,Lapeer,42.9206,-83.0429,2764,749
Clayton,NM,Union,36.4434,-103.1577,2763,128
Kingston Springs,TN,Cheatham,36.0848,-87.1043,2763,107
Abbeville,GA,Wilcox,31.9925,-83.3068,2761,348
Healdton,OK,Carter,34.2335,-97.4868,2761,75
Williston,FL,Levy,29.3736,-82.4576,2760,158
Marietta,OK,Love,33.9355,-97.1242,2759,438
Cajahs Mountain,NC,Caldwell,35.8507,-81.5361,2758,313
Granite Falls,MN,Yellow Medicine,44.8108,-95.5384,2757,296
Christopher,IL,Franklin,37.971,-89.053,2756,672
East Newark,NJ,Hudson,40.7511,-74.1622,2754,10390
Ford Heights,IL,Cook,41.5109,-87.5814,2754,546
Roseau,MN,Roseau,48.8444,-95.7623,2754,397
England,AR,Lonoke,34.546,-91.969,2753,488
Ketchum,ID,Blaine,43.6867,-114.373,2753,329
Bartlett,TX,Williamson,30.795,-97.4324,2752,874
Osseo,MN,Hennepin,45.1177,-93.3994,2752,1408
El Lago,TX,Harris,29.5733,-95.044,2751,1665
Simpsonville,KY,Shelby,38.2166,-85.3514,2751,453
Bonifay,FL,Holmes,30.7827,-85.6846,2750,260
Trinity,TX,Trinity,30.9445,-95.3736,2750,280
East Tawas,MI,Iosco,44.2883,-83.4846,2750,373
Eutaw,AL,Greene,32.8436,-87.8987,2749,88
Stigler,OK,Haskell,35.2566,-95.1185,2749,393
Freer,TX,Duval,27.8823,-98.6181,2748,262
Wentworth,NC,Rockingham,36.3914,-79.751,2748,74
Quarryville,PA,Lancaster,39.8957,-76.1617,2748,821
Girard,KS,Crawford,37.5092,-94.8458,2748,442
Lake Arthur,LA,Jefferson Davis,30.0795,-92.6773,2746,571
Manchester,PA,York,40.0614,-76.7194,2746,1349
Carrabelle,FL,Franklin,29.8542,-84.6687,2744,232
Victor,NY,Ontario,42.982,-77.4097,2744,770
Hamburg,AR,Ashley,33.225,-91.7973,2743,307
McLeansboro,IL,Hamilton,38.0894,-88.5358,2743,405
Lake Helen,FL,Volusia,28.9829,-81.231,2740,238
Hooks,TX,Bowie,33.4707,-94.284,2739,507
Hypoluxo,FL,Palm Beach,26.5635,-80.0531,2738,1708
Aspinwall,PA,Allegheny,40.4929,-79.9037,2737,3017
Oak Harbor,OH,Ottawa,41.5123,-83.143,2737,678
Dermott,AR,Chicot,33.5269,-91.4325,2735,296
Hortonville,WI,Outagamie,44.3365,-88.6362,2734,304
Lagrange,IN,LaGrange,41.6489,-85.4178,2734,619
Knob Noster,MO,Johnson,38.7676,-93.5616,2734,366
Cokato,MN,Wright,45.077,-94.1879,2731,677
North Sioux City,SD,Union,42.5354,-96.4998,2731,463
Van,TX,Van Zandt,32.5242,-95.6373,2729,353
Munsey Park,NY,Nassau,40.799,-73.6799,2728,2028
Cohasset,MN,Itasca,47.2391,-93.6395,2728,39
Thomaston,NY,Nassau,40.7875,-73.7151,2727,2583
Ruleville,MS,Sunflower,33.7246,-90.55,2727,418
Mount Vernon,TX,Franklin,33.176,-95.2253,2723,244
Filer,ID,Twin Falls,42.5677,-114.6111,2723,1004
Whitehall,MI,Muskegon,43.4004,-86.3406,2723,328
Electra,TX,Wichita,34.0321,-98.9208,2722,364
Platteville,CO,Weld,40.224,-104.834,2722,365
Bedford,PA,Bedford,40.0149,-78.5033,2721,968
Marquette Heights,IL,Tazewell,40.6183,-89.6049,2720,1063
Guntown,MS,Lee,34.4447,-88.6641,2720,225
Warden,WA,Grant,46.9682,-119.0512,2719,394
Seymour,TX,Baylor,33.5955,-99.258,2719,359
Philipsburg,PA,Centre,40.8951,-78.2148,2719,1209
Dawson Springs,KY,Hopkins,37.1737,-87.6885,2719,284
Juneau,WI,Dodge,43.4053,-88.7042,2718,626
Palmhurst,TX,Hidalgo,26.2583,-98.2953,2718,236
Hayti,MO,Pemiscot,36.2323,-89.7474,2718,457
Somerset,WI,St. Croix,45.1273,-92.6751,2717,358
Bloomingdale,GA,Chatham,32.125,-81.3077,2717,82
Riverton,NJ,Burlington,40.0115,-75.0149,2713,1575
Montgomery City,MO,Montgomery,38.9751,-91.5031,2712,330
Ashland,PA,Schuylkill,40.7811,-76.3451,2711,631
Sheridan,IL,LaSalle,41.5285,-88.6789,2711,524
Wendell,ID,Gooding,42.7746,-114.7026,2711,765
Middlefield,OH,Geauga,41.4604,-81.0734,2711,344
Wind Gap,PA,Northampton,40.8484,-75.2917,2710,782
Centreville,AL,Bibb,32.9597,-87.1334,2708,110
Loogootee,IN,Martin,38.6759,-86.9143,2708,667
Round Lake Heights,IL,Lake,42.3855,-88.1036,2707,1872
Ashley,PA,Luzerne,41.2128,-75.8994,2705,1129
Pageland,SC,Chesterfield,34.7719,-80.3899,2704,239
Butler,IN,DeKalb,41.4274,-84.8721,2703,518
Dodge Center,MN,Dodge,44.0286,-92.8508,2702,500
Pearisburg,VA,Giles,37.3289,-80.7274,2699,330
Lisbon,OH,Columbiana,40.7752,-80.7628,2699,618
Casey,IL,Clark,39.3027,-87.9896,2698,488
Clinton,NJ,Hunterdon,40.6356,-74.9124,2697,778
Fayette,MO,Howard,39.147,-92.6857,2695,469
Rogers City,MI,Presque Isle,45.415,-83.8182,2695,230
Leadville,CO,Lake,39.2467,-106.2935,2693,942
Pawnee,IL,Sangamon,39.5936,-89.5825,2693,824
Lakehurst,NJ,Ocean,40.0132,-74.3203,2692,1136
Morton,PA,Delaware,39.9116,-75.3267,2690,2899
Liberty,NC,Randolph,35.8556,-79.5683,2689,331
Reynoldsville,PA,Jefferson,41.0946,-78.888,2688,708
Stanley,ND,Mountrail,48.3164,-102.3874,2686,569
Coxsackie,NY,Greene,42.3561,-73.808,2686,477
Grundy Center,IA,Grundy,42.3638,-92.7744,2686,410
Bel-Ridge,MO,St. Louis,38.7129,-90.3285,2686,1296
Windsor,VA,Isle of Wight,36.8095,-76.7405,2683,258
Dublin,VA,Pulaski,37.0989,-80.6831,2683,759
Thunderbolt,GA,Chatham,32.0339,-81.0478,2683,771
La Grange,NC,Lenoir,35.3064,-77.7889,2682,449
Santa Rosa,NM,Guadalupe,34.936,-104.6769,2680,207
Fairmont,NC,Robeson,34.4945,-79.1136,2678,374
Hoxie,AR,Lawrence,36.0365,-90.9736,2678,158
Strasburg,OH,Tuscarawas,40.6007,-81.5295,2678,744
Newtown,OH,Hamilton,39.1241,-84.3514,2678,476
Mountain View,MO,Howell,36.9936,-91.7019,2678,275
Libby,MT,Lincoln,48.3874,-115.5559,2678,552
West Wyoming,PA,Luzerne,41.3217,-75.8578,2675,285
Gervais,OR,Marion,45.1078,-122.8962,2675,2675
Federalsburg,MD,Caroline,38.6929,-75.7726,2674,534
Bath,PA,Northampton,40.7279,-75.3919,2672,1142
Dupont,PA,Luzerne,41.3237,-75.7421,2672,679
Tusculum,TN,Greene,36.1751,-82.7454,2670,214
Stanton,KY,Powell,37.8475,-83.8572,2670,500
Albany,MN,Stearns,45.6283,-94.5676,2668,468
Jesup,IA,Buchanan,42.4745,-92.0658,2667,555
La Villa,TX,Hidalgo,26.2964,-97.927,2664,1724
Saint Marys,KS,Pottawatomie,39.1942,-96.0646,2664,868
Hedwig Village,TX,Harris,29.7799,-95.5193,2662,1085
Missouri Valley,IA,Harrison,41.5574,-95.9028,2662,318
Wilburton,OK,Latimer,34.9183,-95.3046,2662,331
Grifton,NC,Pitt,35.3805,-77.4334,2661,500
Eldora,IA,Hardin,42.3606,-93.1013,2661,237
University Park,MD,Prince George's,38.972,-76.9446,2659,2047
Clifton,TN,Wayne,35.3769,-87.9936,2658,161
Hallam,PA,York,40.0026,-76.6043,2658,1581
Fairview,OK,Major,36.2705,-98.4771,2658,143
Wellsburg,WV,Brooke,40.2811,-80.6102,2657,1057
East Lansdowne,PA,Delaware,39.944,-75.2608,2656,4970
Hillsville,VA,Carroll,36.7612,-80.7371,2655,104
Marshville,NC,Union,34.9858,-80.371,2655,462
Weed,CA,Siskiyou,41.4127,-122.3815,2654,213
New Richmond,OH,Clermont,38.9619,-84.2779,2653,297
Horace,ND,Cass,46.7558,-96.9072,2652,93
Trenton,IL,Clinton,38.6071,-89.6804,2652,777
Foley,MN,Benton,45.6636,-93.9095,2652,405
Loris,SC,Horry,34.0575,-78.8877,2651,225
Sandstone,MN,Pine,46.1291,-92.8645,2650,193
Statham,GA,Barrow,33.9646,-83.6024,2647,252
Sylva,NC,Jackson,35.3753,-83.2185,2644,319
Palisade,CO,Mesa,39.1079,-108.3582,2644,924
Bloomfield,IA,Davis,40.7487,-92.4174,2643,451
Potosi,MO,Washington,37.9337,-90.775,2643,438
Loudonville,OH,Ashland,40.6338,-82.2342,2642,390
Timberville,VA,Rockingham,38.6341,-78.7729,2640,804
Hampton,SC,Hampton,32.8676,-81.1092,2639,225
Hartford,AL,Geneva,31.1055,-85.6916,2638,163
Palmer Lake,CO,El Paso,39.1156,-104.9051,2637,329
Donalsonville,GA,Seminole,31.0404,-84.8792,2637,256
Dayton,OR,Yamhill,45.2198,-123.0781,2636,1215
Chewelah,WA,Stevens,48.2929,-117.7337,2635,341
Everson,WA,Whatcom,48.9124,-122.3509,2634,774
Mondovi,WI,Buffalo,44.5712,-91.6667,2634,266
Dawsonville,GA,Dawson,34.4364,-84.1242,2634,124
McLendon-Chisholm,TX,Rockwall,32.8512,-96.3923,2633,106
Gowanda,NY,Cattaraugus,42.4612,-78.9339,2633,638
Clever,MO,Christian,37.0325,-93.4738,2631,803
Potterville,MI,Eaton,42.6297,-84.743,2631,603
Crisfield,MD,Somerset,37.9827,-75.8516,2630,585
Covington,OH,Miami,40.1173,-84.3512,2629,766
Dennison,OH,Tuscarawas,40.3972,-81.3275,2629,752
Bayfield,CO,La Plata,37.2353,-107.5948,2628,703
Clarkson Valley,MO,St. Louis,38.6257,-90.5945,2628,376
Ravenel,SC,Charleston,32.7768,-80.2271,2628,80
Premont,TX,Jim Wells,27.3586,-98.1244,2627,593
Green Park,MO,St. Louis,38.5244,-90.3365,2627,745
Cadiz,KY,Trigg,36.8696,-87.8045,2626,341
Chester Heights,PA,Delaware,39.8926,-75.4698,2623,457
Delmont,PA,Westmoreland,40.4145,-79.5729,2622,958
Freemansburg,PA,Northampton,40.6279,-75.3401,2622,1451
Sibley,IA,Osceola,43.4013,-95.7438,2622,601
Blasdell,NY,Erie,42.7965,-78.8324,2621,900
Owensville,MO,Gasconade,38.349,-91.4974,2620,383
Monticello,GA,Jasper,33.3076,-83.6861,2618,314
Okolona,MS,Chickasaw,34.0053,-88.7479,2618,140
Yorkville,NY,Oneida,43.1124,-75.2739,2616,1504
Jemison,AL,Chilton,32.9696,-86.7339,2616,89
Milton,WV,Cabell,38.4353,-82.1376,2614,660
Beach City,TX,Chambers,29.7269,-94.8549,2614,225
Avoca,PA,Luzerne,41.3381,-75.7423,2614,978
Hartford,MI,Van Buren,42.2049,-86.166,2614,758
Macon,MS,Noxubee,33.1217,-88.5564,2614,263
Rio Hondo,TX,Cameron,26.2347,-97.5818,2613,598
Reidsville,GA,Tattnall,32.0871,-82.1244,2613,133
Merkel,TX,Taylor,32.4698,-100.0111,2610,360
Burlington,KS,Coffey,38.1932,-95.7452,2610,457
Tobaccoville,NC,Forsyth,36.2257,-80.3591,2609,131
Versailles,OH,Darke,40.2222,-84.4832,2608,533
Abbeville,AL,Henry,31.5664,-85.2528,2603,64
Swedesboro,NJ,Gloucester,39.7458,-75.3118,2602,1387
Belvidere,NJ,Warren,40.8295,-75.073,2602,692
Marietta,PA,Lancaster,40.0574,-76.5514,2601,1344
Richmond,UT,Cache,41.9231,-111.8074,2600,289
Moscow Mills,MO,Lincoln,38.9398,-90.9253,2600,321
Vergennes,VT,Addison,44.1664,-73.2555,2599,405
Green Island,NY,Albany,42.7474,-73.6925,2598,1342
Spooner,WI,Washburn,45.827,-91.886,2597,249
Madrid,IA,Boone,41.8756,-93.8201,2597,843
Bermuda Run,NC,Davie,36.0032,-80.431,2596,439
Vassar,MI,Tuscola,43.372,-83.5769,2596,471
Glenrock,WY,Converse,42.8564,-105.8629,2595,439
Lyford,TX,Willacy,26.4146,-97.7894,2595,578
Williams Bay,WI,Walworth,42.5788,-88.5456,2594,358
Glen Rose,TX,Somervell,32.2457,-97.7437,2594,259
Rhinebeck,NY,Dutchess,41.9294,-73.9081,2592,656
Lewiston,NY,Niagara,43.1724,-79.04,2591,912
Solon,IA,Johnson,41.8063,-91.4976,2587,701
Mohawk,NY,Herkimer,43.0104,-75.0075,2586,1139
Hoisington,KS,Barton,38.518,-98.7777,2586,865
Hallettsville,TX,Lavaca,29.4431,-96.9433,2585,358
Tilton,IL,Vermilion,40.0941,-87.6398,2584,311
Homedale,ID,Owyhee,43.6153,-116.9375,2584,680
Sabetha,KS,Nemaha,39.912,-95.7908,2584,289
Wales,WI,Waukesha,43.0043,-88.374,2582,304
George West,TX,Live Oak,28.33,-98.1184,2579,513
East Williston,NY,Nassau,40.7608,-73.6336,2577,1749
Forest Heights,MD,Prince George's,38.8105,-76.9995,2577,2068
Ruidoso Downs,NM,Lincoln,33.3312,-105.5968,2576,262
Troutman,NC,Iredell,35.6888,-80.8858,2576,185
Barnesville,MN,Clay,46.6499,-96.4164,2576,481
Petersburg,WV,Grant,38.9957,-79.1276,2573,614
Ferris,TX,Ellis,32.5369,-96.6738,2573,214
Alden,NY,Erie,42.8988,-78.4946,2573,365
Sisters,OR,Deschutes,44.292,-121.5533,2573,528
Eddyville,KY,Lyon,37.0759,-88.0769,2572,143
Derry,PA,Westmoreland,40.3335,-79.3011,2570,1285
Collins,MS,Covington,31.6469,-89.5669,2569,124
Pennington,NJ,Mercer,40.3263,-74.7906,2568,1037
Ashland,NE,Saunders,41.0404,-96.3707,2566,900
Eminence,KY,Henry,38.3637,-85.1779,2566,350
Piermont,NY,Rockland,41.0423,-73.915,2565,1457
Dillsburg,PA,York,40.1103,-77.0335,2564,1236
Bonners Ferry,ID,Boundary,48.6924,-116.3183,2564,405
Alburtis,PA,Lehigh,40.509,-75.6001,2563,1399
Royston,GA,Hart,34.2859,-83.1097,2563,290
Centerville,IN,Wayne,39.8295,-84.9936,2563,336
Fairfax,IA,Linn,41.9227,-91.776,2563,513
Sandusky,MI,Sanilac,43.421,-82.8335,2563,460
Wellford,SC,Spartanburg,34.9614,-82.0921,2563,230
Granville,WV,Monongalia,39.6471,-79.9974,2562,762
Glenwood,MN,Pope,45.6515,-95.3636,2562,168
Okanogan,WA,Okanogan,48.3683,-119.5775,2561,496
Tahoka,TX,Lynn,33.164,-101.7949,2561,415
Wrightsville Beach,NC,New Hanover,34.2131,-77.7983,2560,698
Cambridge Springs,PA,Crawford,41.8018,-80.0597,2560,1133
Luxemburg,WI,Kewaunee,44.5448,-87.7065,2557,427
Whitehall,NY,Washington,43.5549,-73.4222,2556,175
Williamsburg,OH,Clermont,39.0517,-84.0464,2554,466
Russell Springs,KY,Russell,37.0509,-85.0774,2554,210
The Hills,TX,Travis,30.3464,-97.9864,2553,916
Pearl River,LA,St. Tammany,30.3687,-89.7495,2552,267
Covington,IN,Fountain,40.1405,-87.391,2551,837
Salina,UT,Sevier,38.9365,-111.8666,2551,159
Pleasant Ridge,MI,Oakland,42.4715,-83.1445,2551,1731
Wilsons Mills,NC,Johnston,35.5844,-78.3594,2550,218
West Fork,AR,Washington,35.9357,-94.1801,2550,263
Rock Rapids,IA,Lyon,43.4259,-96.1657,2550,248
Conrad,MT,Pondera,48.1732,-111.9477,2550,825
Calvert City,KY,Marshall,37.0289,-88.3593,2550,54
Shallowater,TX,Lubbock,33.6899,-101.9892,2546,700
Colwyn,PA,Delaware,39.9119,-75.253,2546,3803
Carthage,IL,Hancock,40.4144,-91.1278,2546,404
Brookville,IN,Franklin,39.4232,-85.0114,2546,656
Myrtle Point,OR,Coos,43.0617,-124.1326,2545,611
Pantego,TX,Tarrant,32.7148,-97.1544,2544,1013
Indian Springs Village,AL,Shelby,33.3589,-86.7493,2544,255
Phillipsburg,KS,Phillips,39.7512,-99.321,2543,577
Rockville,IN,Parke,39.7665,-87.2295,2542,657
Gibsonburg,OH,Sandusky,41.388,-83.3218,2542,409
Midland,PA,Beaver,40.6373,-80.4565,2539,541
South Hutchinson,KS,Reno,38.0276,-97.9427,2539,342
Alturas,CA,Modoc,41.4911,-120.5491,2537,402
Sabina,OH,Clinton,39.4902,-83.6336,2537,763
Rockledge,PA,Montgomery,40.0822,-75.0898,2536,2816
Bethel Heights,AR,Benton,36.2258,-94.1276,2535,414
Winters,TX,Runnels,31.9564,-99.9293,2534,416
Kalona,IA,Washington,41.4874,-91.7018,2534,454
Millersburg,PA,Dauphin,40.5422,-76.9552,2532,1287
Marysville,PA,Perry,40.3377,-76.9337,2532,418
McCormick,SC,McCormick,33.9129,-82.2876,2532,241
Landrum,SC,Spartanburg,35.1746,-82.185,2531,363
Sterlington,LA,Ouachita,32.6888,-92.0603,2530,346
Abita Springs,LA,St. Tammany,30.4765,-90.0293,2529,217
Wernersville,PA,Berks,40.3302,-76.082,2529,1280
New Town,ND,Mountrail,47.9847,-102.4823,2528,761
Hawarden,IA,Sioux,43.0018,-96.483,2527,338
Sylvania,GA,Screven,32.7465,-81.641,2526,195
Rockville,MN,Stearns,45.4649,-94.3223,2526,34
Deerfield,WI,Dane,43.0492,-89.0762,2524,450
Center Point,IA,Linn,42.1843,-91.7794,2524,375
Onalaska,TX,Polk,30.8216,-95.1111,2523,226
Eagle Lake,FL,Polk,27.9761,-81.7574,2520,513
Kenilworth,IL,Cook,42.0888,-87.7145,2520,1599
West Newton,PA,Westmoreland,40.2093,-79.77,2519,937
Clearwater,KS,Sedgwick,37.509,-97.4974,2519,513
Clinton,AR,Van Buren,35.5801,-92.4541,2518,75
Osceola,WI,Polk,45.3193,-92.6936,2517,237
Jay,OK,Delaware,36.4273,-94.7954,2517,290
Silver Creek,NY,Chautauqua,42.5426,-79.1677,2516,837
Sutter Creek,CA,Amador,38.3827,-120.8112,2516,370
Clio,MI,Genesee,43.1773,-83.7355,2515,873
Overton,TX,Rusk,32.276,-94.9726,2514,144
Charlevoix,MI,Charlevoix,45.314,-85.2554,2514,473
Beverly,NJ,Burlington,40.065,-74.9217,2513,1749
Casselton,ND,Cass,46.8973,-97.2124,2513,514
Roaring Spring,PA,Blair,40.3348,-78.3959,2513,1205
Bayou La Batre,AL,Mobile,30.4128,-88.2609,2513,129
Saint Henry,OH,Mercer,40.4208,-84.6326,2513,604
Lauderdale,MN,Ramsey,44.9942,-93.2026,2510,2309
Bridgeport,WA,Douglas,48.0062,-119.6732,2509,924
Montpelier,ID,Bear Lake,42.326,-111.2988,2506,415
Marked Tree,AR,Poinsett,35.5251,-90.4257,2505,171
Pima,AZ,Graham,32.8876,-109.8409,2505,145
Lockport,LA,Lafourche,29.6418,-90.5376,2504,1516
Bentleyville,PA,Washington,40.1178,-80.0044,2504,261
Westminster,SC,Oconee,34.6657,-83.0911,2503,280
Galva,IL,Henry,41.1692,-90.0373,2502,338
Blountstown,FL,Calhoun,30.443,-85.0454,2500,304
New Lisbon,WI,Juneau,43.878,-90.1627,2499,350
Poynette,WI,Columbia,43.3921,-89.4059,2498,375
Liberty,PA,Allegheny,40.3244,-79.8589,2498,674
Silver Lake,OH,Summit,41.1594,-81.4605,2498,680
Lake Crystal,MN,Blue Earth,44.1054,-94.2185,2498,559
Blue Mound,TX,Tarrant,32.8544,-97.3383,2497,1859
New Hope,PA,Bucks,40.3616,-74.9573,2497,758
Crooksville,OH,Perry,39.769,-82.0956,2497,593
Hollandale,MS,Washington,33.1761,-90.8529,2496,434
Nixon,TX,Gonzales,29.2698,-97.7658,2495,616
Woodbine,NJ,Cape May,39.2284,-74.8097,2494,120
Rancho Viejo,TX,Cameron,26.0361,-97.5568,2494,488
Garland,UT,Box Elder,41.7363,-112.1629,2492,536
Mineral Point,WI,Iowa,42.8624,-90.1837,2491,330
Marengo,IA,Iowa,41.7965,-92.0678,2491,462
Fillmore,UT,Millard,38.9641,-112.3389,2491,140
Bennett,CO,Adams,39.7366,-104.4286,2488,165
Fennimore,WI,Grant,42.9792,-90.6492,2487,550
Paden City,WV,Tyler,39.6035,-80.9351,2487,1135
Escobares,TX,Starr,26.412,-98.9602,2487,366
Skaneateles,NY,Onondaga,42.9458,-76.4282,2487,679
Paynesville,MN,Stearns,45.3785,-94.7215,2487,414
Mount Vernon,KY,Rockcastle,37.3578,-84.3431,2486,466
Kalama,WA,Cowlitz,46.0115,-122.8369,2484,346
Frankfort,NY,Herkimer,43.0384,-75.0724,2484,946
Pembroke,GA,Bryan,32.1455,-81.6185,2484,126
Chesterfield,IN,Madison,40.113,-85.5942,2484,695
Fairmont City,IL,St. Clair,38.6507,-90.1011,2482,159
Corinth,NY,Saratoga,43.2456,-73.8311,2481,898
Walters,OK,Cotton,34.3612,-98.3563,2481,117
El Portal,FL,Miami-Dade,25.8556,-80.1954,2480,2303
Osceola,IN,St. Joseph,41.6647,-86.0787,2479,704
Quanah,TX,Hardeman,34.2954,-99.7429,2478,275
Coopersburg,PA,Lehigh,40.5102,-75.3915,2478,1025
Woodville,TX,Tyler,30.774,-94.4236,2476,297
Portage,PA,Cambria,40.3868,-78.6746,2476,1452
Oronogo,MO,Jasper,37.1917,-94.4639,2475,384
Chester,WV,Hancock,40.6129,-80.5627,2474,956
White Salmon,WA,Klickitat,45.7284,-121.4853,2473,770
Moorefield,WV,Hardy,39.0674,-78.9624,2473,349
Louisa,KY,Lawrence,38.1079,-82.6133,2473,425
Virginia Gardens,FL,Miami-Dade,25.8095,-80.2975,2472,3239
Diamond,IL,Grundy,41.2851,-88.2506,2471,505
Pelican Rapids,MN,Otter Tail,46.57,-96.0861,2471,381
Windy Hills,KY,Jefferson,38.2702,-85.6378,2470,1036
Hinton,WV,Summers,37.6651,-80.8828,2469,426
Country Club Village,MO,Andrew,39.8388,-94.8205,2468,243
Ross,CA,Marin,37.9638,-122.5615,2467,612
Granville,NY,Washington,43.4081,-73.2617,2466,613
Charleston,AR,Franklin,35.2954,-94.0462,2466,222
Fredericktown,OH,Knox,40.4784,-82.5486,2466,482
Middleport,OH,Meigs,38.9948,-82.0643,2465,529
Lordsburg,NM,Hidalgo,32.3438,-108.7024,2463,113
Santa Claus,IN,Spencer,38.1168,-86.9292,2463,147
Harriman,NY,Orange,41.3088,-74.1444,2462,946
Villa Grove,IL,Douglas,39.8644,-88.16,2462,633
Nicoma Park,OK,Oklahoma,35.4912,-97.3254,2462,284
Spring Lake,MI,Ottawa,43.074,-86.194,2462,805
Junction,TX,Kimble,30.4906,-99.7725,2461,414
Thornton,IL,Cook,41.5711,-87.6187,2461,400
Daingerfield,TX,Morris,33.0306,-94.7251,2460,386
Commerce,OK,Ottawa,36.9317,-94.8705,2460,1138
Poland,OH,Mahoning,41.022,-80.6156,2459,580
Alamo,TN,Crockett,35.7832,-89.1166,2457,421
Pinckney,MI,Livingston,42.4542,-83.9456,2457,594
Mendenhall,MS,Simpson,31.9609,-89.8694,2457,177
Ranger,TX,Eastland,32.4693,-98.6751,2456,135
Curwensville,PA,Clearfield,40.9735,-78.5189,2456,425
Versailles,MO,Morgan,38.4333,-92.8453,2456,407
Belle Plaine,IA,Benton,41.8952,-92.2753,2454,294
Prague,OK,Lincoln,35.4997,-96.6999,2453,315
Wabasha,MN,Wabasha,44.3706,-92.042,2453,115
Morgantown,KY,Butler,37.2173,-86.7001,2453,284
Yardley,PA,Bucks,40.2408,-74.8385,2452,1013
Mayodan,NC,Rockingham,36.421,-79.9675,2450,328
Homerville,GA,Clinch,31.0385,-82.742,2450,271
Attica,NY,Wyoming,42.8641,-78.2798,2449,559
Coudersport,PA,Potter,41.7758,-78.016,2449,167
New Llano,LA,Vernon,31.0975,-93.2768,2447,359
Muncy,PA,Lycoming,41.2021,-76.7854,2446,1119
Haw River,NC,Alamance,36.0929,-79.3616,2445,315
Le Center,MN,Le Sueur,44.3861,-93.7322,2445,625
Weatherly,PA,Carbon,40.942,-75.821,2444,316
Telluride,CO,San Miguel,37.9365,-107.8264,2444,432
Danville,AR,Yell,35.0527,-93.3902,2444,222
Nekoosa,WI,Wood,44.3134,-89.9073,2443,278
Mountain City,TN,Johnson,36.4695,-81.805,2443,285
Monroe City,MO,Monroe,39.6542,-91.7328,2441,312
Carthage,NC,Moore,35.3223,-79.4117,2438,142
Lake Placid,NY,Essex,44.2837,-73.9855,2438,686
Odem,TX,San Patricio,27.9463,-97.5866,2436,805
Kinder,LA,Allen,30.4835,-92.8508,2436,170
Moundville,AL,Hale,32.997,-87.6272,2436,205
Winneconne,WI,Winnebago,44.1117,-88.7108,2435,614
Maxton,NC,Robeson,34.7364,-79.3527,2434,348
Coats,NC,Harnett,35.4071,-78.6686,2432,652
Durant,MS,Holmes,33.0799,-89.8566,2431,419
Belleville,WI,Dane,42.8643,-89.5402,2430,591
Neillsville,WI,Clark,44.5604,-90.5901,2430,335
Mayflower,AR,Faulkner,34.9682,-92.4228,2430,244
Wayne,IL,DuPage,41.9494,-88.2583,2429,163
Sisseton,SD,Roberts,45.6625,-97.0453,2429,589
Saint Maries,ID,Benewah,47.3146,-116.5714,2428,850
Dayton,WA,Columbia,46.3171,-117.9768,2427,657
Bells,TN,Crockett,35.7207,-89.0852,2426,402
Lincoln,AR,Washington,35.9486,-94.4178,2425,341
Spring Valley,MN,Fillmore,43.6888,-92.3897,2425,318
Anchorage,KY,Jefferson,38.2689,-85.5364,2425,316
